date,count,package
2022-07-11,74719,dplyr
2022-07-12,70267,dplyr
2022-07-13,70775,dplyr
2022-07-14,72762,dplyr
2022-07-15,55399,dplyr
2022-07-16,32971,dplyr
2022-07-17,32265,dplyr
2022-07-18,62006,dplyr
2022-07-19,65138,dplyr
2022-07-20,61430,dplyr
2022-07-21,57934,dplyr
2022-07-22,54610,dplyr
2022-07-23,31930,dplyr
2022-07-24,34003,dplyr
2022-07-25,64611,dplyr
2022-07-26,71248,dplyr
2022-07-27,61273,dplyr
2022-07-28,60972,dplyr
2022-07-29,57474,dplyr
2022-07-30,30819,dplyr
2022-07-31,33493,dplyr
2022-08-01,66449,dplyr
2022-08-02,67923,dplyr
2022-08-03,68338,dplyr
2022-08-04,68828,dplyr
2022-08-05,55572,dplyr
2022-08-06,32373,dplyr
2022-08-07,30415,dplyr
2022-08-08,58555,dplyr
2022-08-09,57898,dplyr
2022-08-10,57787,dplyr
2022-08-11,56101,dplyr
2022-08-12,50755,dplyr
2022-08-13,NA,dplyr
2022-08-14,35006,dplyr
2022-08-15,51421,dplyr
2022-08-16,58066,dplyr
2022-08-17,61468,dplyr
2022-08-18,61108,dplyr
2022-08-19,54671,dplyr
2022-08-20,32770,dplyr
2022-08-21,31652,dplyr
2022-08-22,61661,dplyr
2022-08-23,70297,dplyr
2022-08-24,71071,dplyr
2022-08-25,69553,dplyr
2022-08-26,60782,dplyr
2022-08-27,33749,dplyr
2022-08-28,34238,dplyr
2022-08-29,65242,dplyr
2022-08-30,71282,dplyr
2022-08-31,102099,dplyr
2022-09-01,166780,dplyr
2022-09-02,139752,dplyr
2022-09-03,85558,dplyr
2022-09-04,80766,dplyr
2022-09-05,121345,dplyr
2022-09-06,134217,dplyr
2022-09-07,121770,dplyr
2022-09-08,118043,dplyr
2022-09-09,98882,dplyr
2022-09-10,63310,dplyr
2022-09-11,65325,dplyr
2022-09-12,111882,dplyr
2022-09-13,125399,dplyr
2022-09-14,127256,dplyr
2022-09-15,113172,dplyr
2022-09-16,103627,dplyr
